ind/benchmarks-dti/leon/amortize-queue-goal1, 0:00.14, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal10, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal2, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal12, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal4, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal6, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal7, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal8, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal11, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal4, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal8, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal9, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal5, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal10, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal1, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal2, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal18, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal14, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal8, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal9, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal16, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal15, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal11, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal3, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal7, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal13, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal7, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal5, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal3, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal3, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal14, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal6, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal5, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal9, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal12, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal13, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal12, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal1, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal13, 0:00.08, 0.01, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal10, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal4, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal11, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/bsearch-tree-goal17, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/heap-goal2, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal6, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/leon/amortize-queue-goal15, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/hipspec/rotate-goal9, 2:00.00, 121.09, 1.93, Unknown
ind/benchmarks-dti/hipspec/rev-equiv-goal7, 2:00.00, 120.28, 0.47, Unknown
